frozenset(['lug_boot_med']),frozenset(['buying_low']),0.25
frozenset(['maint_med']),frozenset(['class_acc']),0.26620370370370366
frozenset(['class_acc']),frozenset(['maint_med']),0.29947916666666663
frozenset(['persons_more']),frozenset(['lug_boot_big']),0.3333333333333333
frozenset(['lug_boot_big']),frozenset(['persons_more']),0.3333333333333333
frozenset(['buying_high']),frozenset(['doors_5_more']),0.25
frozenset(['doors_5_more']),frozenset(['buying_high']),0.25
frozenset(['doors_3']),frozenset(['persons_more']),0.33333333333333337
frozenset(['persons_more']),frozenset(['doors_3']),0.25
frozenset(['buying_high']),frozenset(['safety_low']),0.33333333333333337
frozenset(['safety_low']),frozenset(['buying_high']),0.25
frozenset(['safety_med']),frozenset(['maint_vhigh']),0.25
frozenset(['maint_vhigh']),frozenset(['safety_med']),0.33333333333333337
frozenset(['safety_med']),frozenset(['lug_boot_med']),0.3333333333333333
frozenset(['lug_boot_med']),frozenset(['safety_med']),0.3333333333333333
frozenset(['persons_4']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['persons_4']),0.33333333333333337
frozenset(['buying_vhigh']),frozenset(['maint_vhigh']),0.25
frozenset(['maint_vhigh']),frozenset(['buying_vhigh']),0.25
frozenset(['class_acc']),frozenset(['doors_3']),0.2578125
frozenset(['doors_3']),frozenset(['class_acc']),0.22916666666666669
frozenset(['lug_boot_small']),frozenset(['buying_high']),0.25
frozenset(['buying_high']),frozenset(['lug_boot_small']),0.33333333333333337
frozenset(['doors_2']),frozenset(['class_unacc']),0.7546296296296297
frozenset(['class_unacc']),frozenset(['doors_2']),0.2694214876033058
frozenset(['persons_more']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['persons_more']),0.33333333333333337
frozenset(['class_unacc']),frozenset(['lug_boot_big']),0.30413223140495865
frozenset(['lug_boot_big']),frozenset(['class_unacc']),0.6388888888888888
frozenset(['doors_3']),frozenset(['safety_med']),0.33333333333333337
frozenset(['safety_med']),frozenset(['doors_3']),0.25
frozenset(['maint_med']),frozenset(['lug_boot_big']),0.33333333333333337
frozenset(['lug_boot_big']),frozenset(['maint_med']),0.25
frozenset(['doors_2']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['doors_2']),0.25
frozenset(['doors_2']),frozenset(['buying_vhigh']),0.25
frozenset(['buying_vhigh']),frozenset(['doors_2']),0.25
